"ts","block","val"
"2018-11-16T23:51:24.000000Z",550368,6653303141405
"2018-12-03T11:59:28.000000Z",552384,5646403851534
"2018-12-18T23:32:45.000000Z",554400,5106422924659
"2018-12-31T17:20:09.000000Z",556416,5618595848853
"2019-01-14T02:19:54.000000Z",558432,5883988430955
"2019-01-28T06:35:13.000000Z",560448,5814661935891
"2019-02-10T16:59:41.000000Z",562464,6061518831027
"2019-02-24T16:33:58.000000Z",564480,6071846049920
"2019-03-10T16:45:04.000000Z",566496,6068891541676
"2019-03-24T00:24:53.000000Z",568512,6379265451411
"2019-04-06T23:43:43.000000Z",570528,6393023717201
"2019-04-21T01:54:28.000000Z",572544,6353030562983
"2019-05-04T08:32:13.000000Z",574560,6702169884349
"2019-05-18T08:31:36.000000Z",576576,6704632680587
"2019-05-30T22:43:04.000000Z",578592,7459680720542
"2019-06-14T01:03:50.000000Z",580608,7409399249090
"2019-06-27T02:59:30.000000Z",582624,7934713219630
"2019-07-09T09:17:48.000000Z",584640,9064159826491
"2019-07-23T11:22:17.000000Z",586656,9013786945891
"2019-08-05T02:52:08.000000Z",588672,9985348008059
"2019-08-18T20:49:42.000000Z",590688,10183488432889
"2019-09-01T02:35:01.000000Z",592704,10771996663680
"2019-09-13T19:06:31.000000Z",594720,11890594958795
"2019-09-26T20:33:21.000000Z",596736,12759819404408
"2019-10-10T14:08:55.000000Z",598752,13008091666971
"2019-10-23T21:42:53.000000Z",600768,13691480038694
"2019-11-07T23:30:36.000000Z",602784,12720005267390
"2019-11-21T17:08:52.000000Z",604800,12973235968799
"2019-12-05T20:02:25.000000Z",606816,12876842089682
"2019-12-19T18:17:01.000000Z",608832,12948593420946
"2020-01-01T21:54:27.000000Z",610848,13798783827516
"2020-01-14T23:42:37.000000Z",612864,14776367535688
"2020-01-28T08:44:03.000000Z",614880,15466098935554
"2020-02-11T07:10:24.000000Z",616896,15546745765529
"2020-02-25T08:28:42.000000Z",618912,15486913440292
"2020-03-09T11:05:17.000000Z",620928,16552923967337
"2020-03-26T02:51:46.000000Z",622944,13912524048945
"2020-04-08T08:54:06.000000Z",624960,14715214060656
"2020-04-21T07:05:24.000000Z",626976,15958652328578
"2020-05-05T04:05:21.000000Z",628992,16104807485529
"2020-05-20T02:06:56.000000Z",631008,15138043247082
"2020-06-04T12:30:52.000000Z",633024,13732352106018
"2020-06-16T16:51:07.000000Z",635040,15784744305477
"2020-06-30T17:18:49.000000Z",637056,15784217546288
"2020-07-13T11:51:00.000000Z",639072,17345948872516
"2020-07-27T21:52:36.000000Z",641088,16847561611550
"2020-08-10T20:00:19.000000Z",643104,16947802333946
"2020-08-24T08:34:19.000000Z",645120,17557993035167
"2020-09-07T12:48:40.000000Z",647136,17345997805929
"2020-09-20T02:55:33.000000Z",649152,19314656404097
"2020-10-04T03:19:52.000000Z",651168,19298087186262
"2020-10-17T16:03:40.000000Z",653184,19997335994446
"2020-11-03T08:28:10.000000Z",655200,16787779609932
"2020-11-16T17:01:59.000000Z",657216,17596801059571
"2020-11-29T13:41:45.000000Z",659232,19157154724710
"2020-12-13T22:44:43.000000Z",661248,18670168558399
"2020-12-28T00:02:24.000000Z",663264,18599593048299
"2021-01-09T15:24:37.000000Z",665280,20607418304385
"2021-01-23T11:56:57.000000Z",667296,20823531150111
"2021-02-06T02:25:03.000000Z",669312,21434395961348
"2021-02-19T22:00:36.000000Z",671328,21724134900047
"2021-03-06T02:28:28.000000Z",673344,21448277761059
"2021-03-19T20:06:45.000000Z",675360,21865558044610
"2021-04-02T02:00:01.000000Z",677376,23137439666472
"2021-04-15T19:41:43.000000Z",679392,23581981443663
